Name,Set,Types,Cost,Text,Actions / Villagers,Cards,Buys,Coins / Coffers,Trash / Return,Exile,Junk,Gain,Victory Points
Alms,Adventures,Event,,"Once per turn: If you have no Treasures in play, gain a card costing up to .",,,,,,,,1,
Amulet,Adventures,Action - Duration,,"Now and at the start of your next turn, choose one: +; or trash a card from your hand; or gain a Silver.",,,,"+?, N +?","1?, N 1?",,,"1?, N 1?",
Artificer,Adventures,Action,,"+1 Card
+1 Action
+
Discard any number of cards. You may gain a card onto your deck costing exactly per card discarded.",+1,"+1,-X",,+,,,,1?,
Ball,Adventures,Event,,Take your – token. Gain 2 cards each costing up to .,,,,-,,,,2,
Bonfire,Adventures,Event,,Trash up to 2 Coppers you have in play.,,,,,0-2,,,,
Borrow,Adventures,Event,,"Once per turn: +1 Buy. If your –1 Card token isn't on your deck, put it there and +.",,,+1,+,,,,,
Bridge Troll,Adventures,Action - Attack - Duration,,"Each other player takes their – token. On this turn and your next turn, cards cost less.
Now and at the start of your next turn: +1 Buy.",,,"+1, N +1","R1, N R1",,,,,
Caravan Guard,Adventures,Action - Duration - Reaction,,"+1 Card
+1 Action
At the start of your next turn, +.When another player plays an Attack card, you may first play this from your hand.",+1,+1,,N +,,,,,
Champion,Adventures,Action - Duration,,"+1 Action
For the rest of the game, when another player plays an Attack, it doesn't affect you, and when you play an Action card, you first get +1 Action.(This is not in the Supply.)","+1, **+1",,,,,,,,
Coin of the Realm,Adventures,Treasure - Reserve,,"When you play this, put it on your Tavern mat.Directly after you finish playing an Action card, you may call this, for +2 Actions.",C+2,,,+,,,,,
Disciple,Adventures,Action - Traveller,,"You may play an Action card from your hand twice. Gain a copy of it.When you discard this from play, you may exchange it for a Teacher.
(This is not in the Supply.)",P2,,,,Self?,,,1,
Distant Lands,Adventures,Action - Reserve - Victory,,Put this on your Tavern mat.Worth 4? if on your Tavern mat at the end of the game (otherwise worth 0?).,,,,,,,,,4??
Dungeon,Adventures,Action - Duration,,"+1 Action
Now and at the start of your next turn: +2 Cards, then discard 2 cards.",+1,"+2,-2, N +2, N -1",,,,,,,
Duplicate,Adventures,Action - Reserve,,"Put this on your Tavern mat.When you gain a card costing up to , you may call this, to gain a copy of that card.",,,,,,,,C1,
Expedition,Adventures,Event,,Draw 2 extra cards for your next hand.,,N +2,,,,,,,
Ferry,Adventures,Event,,"Move your – cost token to an Action Supply pile. (Cards from that pile cost less on your turns, but not less than .)",,,,,,,,,
Fugitive,Adventures,Action - Traveller,,"+2 Cards
+1 Action
Discard a card.When you discard this from play, you may exchange it for a Disciple.
(This is not in the Supply.)",+1,"+2, -1",,,Self?,,,,
Gear,Adventures,Action - Duration,,"+2 Cards
Set aside up to 2 cards from your hand face down (under this). At the start of your next turn, put them into your hand.",,"+2, -0-2(X), N +X",,,,,,,
Giant,Adventures,Action - Attack,,"Turn your Journey token over (it starts face up). Then if it's face down, +. If it's face up, +, and each other player reveals the top card of his deck, trashes it if it costs from to , and otherwise discards it and gains a Curse.",,,,"+, +?",,,1?,,
Guide,Adventures,Action - Reserve,,"+1 Card
+1 Action
Put this on your Tavern mat.At the start of your turn, you may call this, to discard your hand and draw 5 cards.",+1,"+1, C-X?,+5?",,,,,,,
Haunted Woods,Adventures,Action - Attack - Duration,,"At the start of your next turn: +3 Cards.Until then, when any other player gains a card they bought, they put their hand onto their deck in any order.",,N +3,,,,,,,
Hero,Adventures,Action - Traveller,,"+
Gain a Treasure.When you discard this from play, you may exchange it for a Champion.
(This is not in the Supply.)",,,,+,Self?,,,1,
Hireling,Adventures,Action - Duration,,At the start of each of your turns for the rest of the game: +1 Card,,N... +1,,,,,,,
Inheritance,Adventures,Event,,"Once per game: Set aside a non-Command Action card from the Supply costing up to . Move your Estate token to it. (During your turns, Estates are also Command Actions with ""Play the card with your Estate token, leaving it there."")",,,,,,,,,
Lost Arts,Adventures,Event,,"Move your +1 Action token to an Action Supply pile. (When you play a card from that pile, you first get +1 Action.)",**+1,,,,,,,,
Lost City,Adventures,Action,,"+2 Cards
+2 ActionsWhen you gain this, each other player draws a card.",+2,+2,,,,,,,
Magpie,Adventures,Action,,"+1 Card
+1 Action
Reveal the top card of your deck. If it's a Treasure, put it into your hand. If it's an Action or Victory card, gain a Magpie.",+1,"+1, +1?",,,,,,1?,
Messenger,Adventures,Action,,"+1 Buy
+
You may put your deck into your discard pile.When this is the first card you gain in your Buy phase, gain a card costing up to , and each other player gains a copy of it.",,,+1,+,,,,,
Miser,Adventures,Action,,Choose one: Put a Copper from your hand onto your Tavern mat; or + per Copper on your Tavern mat.,,,,+?,1?,,,,
Mission,Adventures,Event,,"Once per turn: If the previous turn wasn't yours, take another turn after this one, during which you can't buy cards.",,,,,,,,,
Page,Adventures,Action - Traveller,,"+1 Card
+1 ActionWhen you discard this from play, you may exchange it for a Treasure Hunter.",+1,+1,,,Self?,,,,
Pathfinding,Adventures,Event,,"Move your +1 Card token to an Action Supply pile. (When you play a card from that pile, you first get +1 Card.)",,**+1,,,,,,,
Peasant,Adventures,Action - Traveller,,"+1 Buy
+When you discard this from play, you may exchange it for a Soldier.",,,+1,+,Self?,,,,
Pilgrimage,Adventures,Event,,"Once per turn: Turn your Journey token over (it starts face up); then if it's face up, choose up to 3 differently named cards you have in play and gain a copy of each.",,,,,,,,3?,
Plan,Adventures,Event,,"Move your Trashing token to an Action Supply pile. (When you gain a card from that pile, you may trash a card from your hand.)",,,,,**1?,,,,
Port,Adventures,Action,,"+1 Card
+2 ActionsWhen you gain this, gain another Port (that doesn't come with another).",+2,+1,,,,,,*1,
Quest,Adventures,Event,,"You may discard an Attack, two Curses, or six cards. If you do, gain a Gold.",,-X,,,,,,1?,
Raid,Adventures,Event,,Gain a Silver per Silver you have in play. Each other player puts their –1 Card token on their deck.,,,,,,,,X,
Ranger,Adventures,Action,,"+1 Buy
Turn your Journey token over (it starts face up). Then if it's face up, +5 Cards.",,+5?,+1,,,,,,
Ratcatcher,Adventures,Action - Reserve,,"+1 Card
+1 Action
Put this on your Tavern mat.At the start of your turn, you may call this, to trash a card from your hand.",+1,+1,,,C1,,,,
Raze,Adventures,Action,,"+1 Action
Trash this or a card from your hand. Look at one card from the top of your deck per the trashed card costs. Put one of them into your hand and discard the rest.",+1,+1?,,,1 or Self,,,,
Relic,Adventures,Treasure - Attack,,"When you play this, each other player puts their –1 Card token on their deck.",,,,+,,,,,
Royal Carriage,Adventures,Action - Reserve,,"+1 Action
Put this on your Tavern mat.Directly after you finish playing an Action card, if it's still in play, you may call this, to replay that Action.","+1
C P1",,,,,,,,
Save,Adventures,Event,,"Once per turn: +1 Buy. Set aside a card from your hand, and put it into your hand at end of turn (after drawing).",,,+1,,,,,,
Scouting Party,Adventures,Event,,"+1 Buy
Look at the top 5 cards of your deck. Discard 3 and put the rest back in any order.",,,+1,,,,,,
Seaway,Adventures,Event,,"Gain an Action card costing up to . Move your +1 Buy token to its pile. (When you play a card from that pile, you first get +1 Buy.)",,,**+1,,,,,1,
Soldier,Adventures,Action - Attack - Traveller,,"+
+ per other Attack you have in play. Each other player with 4 or more cards in hand discards a card.When you discard this from play, you may exchange it for a Fugitive.
(This is not in the Supply.)",,,,+ +,Self?,,,,
Storyteller,Adventures,Action,,"+1 Action
Play up to 3 Treasures from your hand. Then +1 Card, and pay all of your and Card per you paid.",+1,+(X+1),,-,,,,,
Swamp Hag,Adventures,Action - Attack - Duration,,"At the start of your next turn +.Until then, when any other player gains a card they bought, they gain a Curse.",,,,N +,,,1?,,
Teacher,Adventures,Action - Reserve,,"Put this on your Tavern mat.At the start of your turn, you may call this, to move your +1 Card, +1 Action, +1 Buy, or + token to an Action Supply pile you have no tokens on. (When you play a card from that pile, you first get that bonus.)
(This is not in the Supply.)",C**+1?,C**+1?,C**+1?,C**+?,,,,,
Trade,Adventures,Event,,Trash up to 2 cards from your hand. Gain a Silver per card you trashed.,,,,,0-2,,,0-2,
Training,Adventures,Event,,"Move your + token to an Action Supply pile. (When you play a card from that pile, you first get +.)",,,,**+,,,,,
Transmogrify,Adventures,Action - Reserve,,"+1 Action
Put this on your Tavern mat.At the start of your turn, you may call this, to trash a card from your hand, and gain a card to your hand costing up to more than it.",+1,,,,C1,,,C1,
Travelling Fair,Adventures,Event,,"+2 Buys
When you gain a card this turn, you may put it onto your deck.",,,+2,,,,,,
